Year,Day,Date/Month/Year,JackPot,2Last,3Last1,3Last2,3Last3,3Last4
2010,Saturday,16/01/2010,073577,67,413,459,646,781
2010,Monday,01/02/2010,186312,14,403,577,694,936
2010,Tuesday,16/02/2010,133707,03,026,137,362,985
2010,Monday,01/03/2010,215277,97,229,619,756,996
2010,Tuesday,16/03/2010,364222,97,229,619,756,996
2010,Thursday,01/04/2010,959517,22,040,174,447,663
2010,Friday,16/04/2010,211743,96,154,285,744,811
2010,Sunday,02/05/2010,360371,06,040,382,517,618
2010,Sunday,16/05/2010,480012,12,008,151,293,770
2010,Tuesday,01/06/2010,444874,81,298,374,673,996
2010,Wednesday,16/06/2010,500104,73,200,628,681,816
2010,Thursday,01/07/2010,480293,68,450,893,918,961
2010,Friday,16/07/2010,180387,34,024,219,309,572
2010,Sunday,01/08/2010,210008,10,182,191,727,769
2010,Monday,16/08/2010,911097,64,448,578,689,986
2010,Wednesday,01/09/2010,354656,11,096,570,656,784
2010,Thursday,16/09/2010,017422,66,075,103,316,431
2010,Friday,01/10/2010,488372,02,003,091,246,996
2010,Saturday,16/10/2010,621377,42,310,385,518,872
2010,Monday,01/11/2010,191100,59,653,739,801,968
2010,Tuesday,16/11/2010,813993,43,129,763,907,979
2010,Wednesday,01/12/2010,181752,09,086,740,474,664
2010,Thursday,16/12/2010,334380,24,306,315,529,533
2010,Thursday,30/12/2010,884112,49,153,186,933,936
2011,Sunday,16/01/2011,281062,23,185,227,546,758
2011,Tuesday,01/02/2011,610089,55,121,361,432,596
2011,Tuesday,16/02/2011,481746,27,384,388,510,535
2011,Monday,01/03/2011,656037,97,357,396,544,926
2011,Tuesday,16/03/2011,593311,96,209,463,737,945
2011,Thursday,01/04/2011,814931,01,036,040,584,723
2011,Friday,16/04/2011,825988,44,213,263,397,593
2011,Sunday,02/05/2011,054136,85,133,421,524,945
2011,Sunday,16/05/2011,406417,05,044,071,700,889
2011,Tuesday,01/06/2011,562370,46,346,556,656,801
2011,Wednesday,16/06/2011,351276,88,162,167,486,582
2011,Thursday,01/07/2011,622953,51,160,390,463,780
2011,Friday,16/07/2011,116556,12,052,227,534,609
2011,Sunday,01/08/2011,218756,12,221,583,660,703
2011,Monday,16/08/2011,536960,62,005,074,345,814
2011,Wednesday,01/09/2011,724533,85,021,533,821,847
2011,Thursday,16/09/2011,731198,28,384,589,645,812
2011,Friday,01/10/2011,511052,15,104,189,499,957
2011,Saturday,16/10/2011,955756,83,057,329,507,991
2011,Monday,01/11/2011,505540,54,065,221,380,771
2011,Tuesday,16/11/2011,997777,57,406,425,551,993
2011,Wednesday,01/12/2011,408147,02,253,739,857,922
2011,Thursday,16/12/2011,884178,21,235,295,651,784
2011,Thursday,30/12/2011,526402,65,026,168,541,597
2012,Sunday,16/01/2012,451445,81,150,328,639,941
2012,Tuesday,01/02/2012,320605,32,426,498,598,749
2012,Wednesday,16/02/2012,648684,18,111,214,420,906
2012,Wednesday,01/03/2012,222518,79,135,199,295,711
2012,Thursday,16/03/2012,607064,08,333,350,573,606
2012,Saturday,01/04/2012,257562,69,074,332,581,616
2012,Sunday,16/04/2012,583470,62,088,216,722,754
2012,Tuesday,02/05/2012,889501,29,426,468,589,597
2012,Tuesday,16/05/2012,814418,31,101,309,504,902
